,tahun,bulan,jenis,kode_trayek,trayek,jumlah_penumpang,kategory_penumpang
98,2021,10,Angkutan Umum Integrasi,6C,Stasin Tebet - Karet via Patra Kuningan,93175,sepi penumpang (Angkutan Umum Integrasi)
99,2021,10,Angkutan Umum Integrasi,5M,Kampung Melayu - Tanah Abang via Cikini,78012,sepi penumpang (Angkutan Umum Integrasi)
100,2021,10,Angkutan Umum Integrasi,5F,Kampung Melayu - Tanah Abang,14392,sepi penumpang (Angkutan Umum Integrasi)
101,2021,10,Angkutan Umum Integrasi,5B,Stasiun Tebet - Bidara Cina,7245,sepi penumpang (Angkutan Umum Integrasi)
102,2021,10,Angkutan Umum Integrasi,4F,Pinang Ranti - Pulo Gadung,34614,sepi penumpang (Angkutan Umum Integrasi)
103,2021,10,Angkutan Umum Integrasi,4B,Stasiun Manggarai - UI,33436,sepi penumpang (Angkutan Umum Integrasi)
104,2021,10,Angkutan Umum Integrasi,3E,Sentraland Cengkareng - Puri Kembangan,24133,sepi penumpang (Angkutan Umum Integrasi)
105,2021,10,Angkutan Umum Integrasi,1R,Senen - Tanah Abang,12633,sepi penumpang (Angkutan Umum Integrasi)
106,2021,10,Angkutan Umum Integrasi,1Q,Rempoa - Blok M,26660,sepi penumpang (Angkutan Umum Integrasi)
107,2021,10,Angkutan Umum Integrasi,1P,Senen - Bundaran Senayan,9135,sepi penumpang (Angkutan Umum Integrasi)
108,2021,10,Angkutan Umum Integrasi,1N,Tanah Abang - Blok M,12969,sepi penumpang (Angkutan Umum Integrasi)
109,2021,10,Angkutan Umum Integrasi,1M,Meruya - Blok M,20501,sepi penumpang (Angkutan Umum Integrasi)
110,2021,10,Angkutan Umum Integrasi,1H,Tanah Abang - Stasiun Gondangdia,37638,sepi penumpang (Angkutan Umum Integrasi)
111,2021,10,Angkutan Umum Integrasi,1F,Stasiun Palmerah - Bundaran Senayan,0,sepi penumpang (Angkutan Umum Integrasi)
112,2021,10,Angkutan Umum Integrasi,1E,Pondok  Labu - Blok M,71245,sepi penumpang (Angkutan Umum Integrasi)
113,2021,10,Angkutan Umum Integrasi,1C,Pesanggrahan - Blok M,14984,sepi penumpang (Angkutan Umum Integrasi)
114,2021,10,Angkutan Umum Integrasi,1B,Stasiun Palmerah - Tosari,29339,sepi penumpang (Angkutan Umum Integrasi)
115,2021,10,Angkutan Umum Integrasi,1A,Pantai Maju - Balai Kota,67571,sepi penumpang (Angkutan Umum Integrasi)
116,2021,10,Angkutan Umum Integrasi,12B,Pluit - Senen,8148,sepi penumpang (Angkutan Umum Integrasi)
117,2021,10,Angkutan Umum Integrasi,11Q,Kampung Melayu - Pulo Gebang via BKT,9781,sepi penumpang (Angkutan Umum Integrasi)
118,2021,10,Angkutan Umum Integrasi,11D,Pulo Gebang - Pulo Gadung 2 via PIK,54197,sepi penumpang (Angkutan Umum Integrasi)
119,2021,10,Angkutan Umum Integrasi,10K,Tanjung Priok - Senen via Taman  BMW,34615,sepi penumpang (Angkutan Umum Integrasi)
120,2021,10,Angkutan Umum Integrasi,GR4,Taman Kota Intan - Museum Bahari,22,sepi penumpang (Angkutan Umum Integrasi)
121,2021,10,Angkutan Umum Integrasi,GR5,Kota Tua Explorer,21,sepi penumpang (Angkutan Umum Integrasi)
122,2021,8,Mikrotrans,JAK.88,Terminal Tanjung Priok - Ancol Barat,20245,sepi penumpang (Mikrotrans)
123,2021,8,Mikrotrans,JAK.85,Bintara - Cipinang Indah,19989,sepi penumpang (Mikrotrans)
124,2021,8,Mikrotrans,JAK.84,Terminal Kampung Melayu - Kapin Raya,33638,sepi penumpang (Mikrotrans)
125,2021,8,Mikrotrans,JAK.80,Rawa Buaya - Rawa Kompeni,46653,sepi penumpang (Mikrotrans)
